target_id,queue_priority,queue_type,queue_reason,candidate_family,positive_family,is_positive,ml_rank,ml_probability,heuristic_rank,heuristic_score,recommended_action
adminer_CVE-2021-21311,,,,adminer,adminer,True,1,0.9984758040533749,1,7.000000000000001,validate_expected_family
adminer_CVE-2021-21311,,,,elasticsearch,adminer,False,2,0.917667152782017,2,3.8000000000000003,compare_as_negative_or_confuser
adminer_CVE-2021-21311,,,,appweb,adminer,False,3,0.3841711578441147,3,1.1,compare_as_negative_or_confuser
adminer_CVE-2021-21311,,,,drupal,adminer,False,4,0.3841711578441147,4,1.1,compare_as_negative_or_confuser
adminer_CVE-2021-21311,,,,goahead,adminer,False,5,0.3841711578441147,5,1.1,compare_as_negative_or_confuser
apache_druid_CVE-2021-25646,,,,druid,druid,True,1,0.998423457887392,1,7.000000000000001,validate_expected_family
apache_druid_CVE-2021-25646,,,,jetty,druid,False,2,0.9200893595955028,2,3.8000000000000003,compare_as_negative_or_confuser
apache_druid_CVE-2021-25646,,,,aria2,druid,False,3,0.05919223536539996,26,0.0,compare_as_negative_or_confuser
apache_druid_CVE-2021-25646,,,,redis,druid,False,4,0.05919223536539996,27,0.0,compare_as_negative_or_confuser
apache_druid_CVE-2021-25646,,,,adminer,druid,False,5,0.04802832774660846,3,0.4,compare_as_negative_or_confuser
appweb_CVE-2018-8715,,,,adminer,appweb,False,1,0.3323201230364789,1,1.08,compare_as_negative_or_confuser
appweb_CVE-2018-8715,,,,appweb,appweb,True,2,0.3323201230364789,2,1.08,validate_expected_family
appweb_CVE-2018-8715,,,,drupal,appweb,False,3,0.3323201230364789,3,1.08,compare_as_negative_or_confuser
appweb_CVE-2018-8715,,,,goahead,appweb,False,4,0.3323201230364789,4,1.08,compare_as_negative_or_confuser
appweb_CVE-2018-8715,,,,jenkins,appweb,False,5,0.3323201230364789,5,1.08,compare_as_negative_or_confuser
aria2_rce,6,positive_control,non-http RPC fingerprint ชัด ใช้เป็น positive control,aria2,aria2,True,1,0.9997729939893363,1,6.7,validate_expected_family
aria2_rce,6,positive_control,non-http RPC fingerprint ชัด ใช้เป็น positive control,redis,aria2,False,2,0.2914224200902257,2,0.6,compare_as_negative_or_confuser
aria2_rce,6,positive_control,non-http RPC fingerprint ชัด ใช้เป็น positive control,thinkphp,aria2,False,3,0.05549784309163971,25,0.06,compare_as_negative_or_confuser
aria2_rce,6,positive_control,non-http RPC fingerprint ชัด ใช้เป็น positive control,tomcat,aria2,False,4,0.05549784309163971,26,0.06,compare_as_negative_or_confuser
aria2_rce,6,positive_control,non-http RPC fingerprint ชัด ใช้เป็น positive control,webmin,aria2,False,5,0.05549784309163971,27,0.06,compare_as_negative_or_confuser
couchdb_CVE-2017-12635,,,,couchdb,couchdb,True,1,0.9902347587302038,1,6.500000000000001,validate_expected_family
couchdb_CVE-2017-12635,,,,aria2,couchdb,False,2,0.05812405926283194,26,0.0,compare_as_negative_or_confuser
couchdb_CVE-2017-12635,,,,redis,couchdb,False,3,0.05812405926283194,27,0.0,compare_as_negative_or_confuser
couchdb_CVE-2017-12635,,,,adminer,couchdb,False,4,0.04740533884185607,2,0.4,compare_as_negative_or_confuser
couchdb_CVE-2017-12635,,,,appweb,couchdb,False,5,0.04740533884185607,3,0.4,compare_as_negative_or_confuser
couchdb_CVE-2017-12636,,,,couchdb,couchdb,True,1,0.9903008049572644,1,6.500000000000001,validate_expected_family
couchdb_CVE-2017-12636,,,,nextjs,couchdb,False,2,0.2206561925905097,2,1.5333333333333332,compare_as_negative_or_confuser
couchdb_CVE-2017-12636,,,,aria2,couchdb,False,3,0.05833467112306026,26,0.0,compare_as_negative_or_confuser
couchdb_CVE-2017-12636,,,,redis,couchdb,False,4,0.05833467112306026,27,0.0,compare_as_negative_or_confuser
couchdb_CVE-2017-12636,,,,adminer,couchdb,False,5,0.047611708962908734,3,0.4,compare_as_negative_or_confuser
drupal_CVE-2018-7600,,,,drupal,drupal,True,1,0.9982588308401286,1,7.000000000000001,validate_expected_family
drupal_CVE-2018-7600,,,,adminer,drupal,False,2,0.38501164341204996,2,1.1,compare_as_negative_or_confuser
drupal_CVE-2018-7600,,,,appweb,drupal,False,3,0.38501164341204996,3,1.1,compare_as_negative_or_confuser
drupal_CVE-2018-7600,,,,goahead,drupal,False,4,0.38501164341204996,4,1.1,compare_as_negative_or_confuser
drupal_CVE-2018-7600,,,,jenkins,drupal,False,5,0.38501164341204996,5,1.1,compare_as_negative_or_confuser
elasticsearch_CVE-2015-1427,,,,elasticsearch,elasticsearch,True,1,0.9897721631656888,1,4.500000000000001,validate_expected_family
elasticsearch_CVE-2015-1427,,,,aria2,elasticsearch,False,2,0.05768351532440908,26,0.0,compare_as_negative_or_confuser
elasticsearch_CVE-2015-1427,,,,redis,elasticsearch,False,3,0.05768351532440908,27,0.0,compare_as_negative_or_confuser
elasticsearch_CVE-2015-1427,,,,adminer,elasticsearch,False,4,0.047609804654623424,2,0.4,compare_as_negative_or_confuser
elasticsearch_CVE-2015-1427,,,,appweb,elasticsearch,False,5,0.047609804654623424,3,0.4,compare_as_negative_or_confuser
flask_ssti,,,,flask,flask,True,1,0.7953082290583097,1,2.73,validate_expected_family
flask_ssti,,,,adminer,flask,False,2,0.07736130565806244,2,0.22999999999999998,compare_as_negative_or_confuser
flask_ssti,,,,appweb,flask,False,3,0.07736130565806244,3,0.22999999999999998,compare_as_negative_or_confuser
flask_ssti,,,,couchdb,flask,False,4,0.07736130565806244,4,0.22999999999999998,compare_as_negative_or_confuser
flask_ssti,,,,druid,flask,False,5,0.07736130565806244,5,0.22999999999999998,compare_as_negative_or_confuser
goahead_CVE-2017-17562,3,near_miss,หลัง enrich แล้ว GoAhead พลาดเฉียด Top-3 เพราะ port 8080 กับ generic Home Page ชนหลาย family,adminer,goahead,False,1,0.3323201230364789,1,1.08,compare_as_negative_or_confuser
goahead_CVE-2017-17562,3,near_miss,หลัง enrich แล้ว GoAhead พลาดเฉียด Top-3 เพราะ port 8080 กับ generic Home Page ชนหลาย family,appweb,goahead,False,2,0.3323201230364789,2,1.08,compare_as_negative_or_confuser
goahead_CVE-2017-17562,3,near_miss,หลัง enrich แล้ว GoAhead พลาดเฉียด Top-3 เพราะ port 8080 กับ generic Home Page ชนหลาย family,drupal,goahead,False,3,0.3323201230364789,3,1.08,compare_as_negative_or_confuser
goahead_CVE-2017-17562,3,near_miss,หลัง enrich แล้ว GoAhead พลาดเฉียด Top-3 เพราะ port 8080 กับ generic Home Page ชนหลาย family,goahead,goahead,True,4,0.3323201230364789,4,1.08,validate_expected_family
